"data.hostItem.author";"data.hostItem.title";"data.hostItem.keywords";"data.hostItem.subject"
"Rolewinck, Werner";"Origo nobilitatis";;"Literature-social"
"Rolle de Hampole, Richardus";"Explanationes in Job";"commentary";"Theology-biblical"
"Rosellis, Antonius de";"Monarchia, sive De potestate Imperatoris ac Papae";"Law-civil; Law-canon";"philosophy-political"
"Salis, Baptista de (Trovamala)";"Summa casuum conscientiae. Add: Sixtus IV: Bulla ""Etsi dominici gregis"" 30 Dec. 1479. Rubricae iuris civilis et canonici";"Law-canon; collection";"theology-pastoral"
"Salis, Baptista de (Trovamala)";"Summa casuum conscientiae. Add: Sixtus IV: Bulla ""Etsi dominici gregis"" 30 Dec. 1479. Rubricae iuris civilis et canonici";"collection; Law-canon";"theology-pastoral"
"Sallustius Crispus, Gaius";"Opera";"collection";"History"
"Samuel, Rabbi";"Epistola contra Judaeorum errores (Tr: Alphonsus Boni Hominis)";"polemical works; translation; hebraica";"theology-pastoral"
"Savonarola, Hieronymus";"Dell' orazione mentale";;"literature devotional"
"Savonarola, Hieronymus";"Dell' umiltà";"religion";"literature moral"
"Schedel, Hartmann";"Liber chronicarum";;"history"
"Schedel, Hartmann";"Liber chronicarum";;"history"
"Schedel, Hartmann";"Liber chronicarum";;"history"
"Sibylla, Bartholomaeus";"Speculum peregrinarum quaestionum";;"theology-pastoral"
"Soccus, Frater Ord. Cisterciensis";"Sermones de sanctis";;"theology-pastoral"
"Soccus, Frater Ord. Cisterciensis";"Sermones de tempore";;"theology-pastoral"
"Suetonius Tranquillus, Gaius";"Vitae XII Caesarum. Comm: Marcus Antonius Sabellicus. Add: Marcus Antonius Sabellicus: Epistola Augustino Barbadico; Vita Suetonii. Ausonius: Versus";"celebratory works; collection; biography; commentary";"history"
"Thomas Aquinas";"Summa theologiae: Pars secunda: secunda pars";"philosophy; education";"theology-speculative"
"Thomas Becket, S., Archiepiscopus Cantuariensis";"Vita et Processus super libertate ecclesiastica";"hagiography";"Theology-ecclesiology"
"Thomas à Kempis";"Soliloquium animae";;"theology-pastoral"
"Turrecremata, Johannes de";"Expositio super toto psalterio";"bible; commentary";"theology-pastoral"
"Turrecremata, Johannes de";"Expositio super toto psalterio";"commentary; bible";"theology-pastoral"
"Turrecremata, Johannes de";"Expositio super toto psalterio";"commentary; bible";"theology-pastoral"
"Turrecremata, Johannes de";"Summa de ecclesia contra impugnatores potestatis summi pontificis et LXXIII quaestiones super potestate et auctoritate Papali ex sententiis sancti Thomae Aquinatis";"polemical works";"theology-ecclesiology"
"Turrecremata, Johannes de";"Summa de ecclesia contra impugnatores potestatis summi pontificis et LXXIII quaestiones super potestate et auctoritate Papali ex sententiis sancti Thomae Aquinatis";"polemical works";"theology-ecclesiology"
"Ubertinus de Casali";"Arbor vitae crucifixae Jesu Christi";;"theology-speculative"
"Vorrillong, Guillermus";"Repertorium opinionum in Scoto omissarum";"commentary; index; education";"Theology-speculative"
"Waleys, Thomas";"Expositiones super Psalterium";"commentary; bible";"theology-biblical"
"Watton, Johannes";"Speculum Christiani";;"theology-pastoral"
"Watton, Johannes";"Speculum Christiani";;"theology-pastoral"
"Winifred, S";"The life of the holy and blessed virgin Saint Winifred. Add: Translation of Saint Winifred";"literature";"hagiography"
"Zacharias Chrysopolitanus";"Unum ex quattuor seu Concordantia evangelistarum";"index; education; commentary; new testament";"theology biblical"
;"Alphabetum divini amoris";;"theology-moral"
;"Alphabetum divini amoris";;"theology-moral"
;"Biblia latina";"translation";"bible"
;"Biblia latina";"translation";"bible"
